iter	Passed	Remaining
253	1134	3332
254	1138	3326
255	1142	3320
256	1146	3315
257	1150	3309
258	1154	3303
259	1158	3298
260	1163	3293
261	1167	3287
262	1171	3282
263	1175	3276
264	1179	3271
265	1183	3265
266	1187	3260
267	1192	3256
268	1196	3251
269	1200	3246
270	1204	3240
271	1208	3235
272	1213	3230
273	1217	3224
274	1221	3219
275	1225	3214
276	1229	3209
277	1233	3204
278	1237	3199
279	1242	3194
280	1246	3189
281	1250	3183
282	1254	3179
283	1258	3173
284	1262	3168
285	1266	3162
286	1270	3157
287	1275	3152
288	1279	3146
289	1283	3142
290	1287	3137
291	1291	3131
292	1296	3127
293	1300	3122
294	1304	3117
295	1308	3112
296	1312	3107
297	1317	3103
298	1321	3098
299	1325	3092
300	1329	3087
301	1333	3082
302	1337	3077
303	1342	3072
304	1346	3067
305	1350	3062
306	1354	3057
307	1358	3052
308	1362	3047
309	1366	3042
310	1371	3037
311	1375	3032
312	1379	3027
313	1383	3022
314	1387	3017
315	1391	3012
316	1395	3007
317	1399	3002
318	1403	2997
319	1407	2991
320	1412	2986
321	1416	2982
322	1420	2976
323	1424	2971
324	1428	2966
325	1432	2961
326	1436	2956
327	1440	2951
328	1444	2946
329	1448	2941
330	1453	2937
331	1457	2932
332	1461	2927
333	1465	2922
334	1469	2917
335	1474	2913
336	1478	2908
337	1482	2903
338	1486	2898
339	1490	2892
340	1494	2888
341	1498	2883
342	1502	2878
343	1506	2873
344	1510	2868
345	1515	2864
346	1519	2859
347	1523	2854
348	1527	2849
349	1531	2844
350	1535	2840
351	1540	2835
352	1544	2830
353	1548	2825
354	1552	2820
355	1556	2816
356	1561	2811
357	1565	2806
358	1569	2801
359	1573	2797
360	1577	2792
361	1581	2788
362	1586	2783
363	1590	2778
364	1594	2774
365	1598	2769
366	1602	2764
367	1606	2759
368	1610	2754
369	1614	2749
370	1619	2744
371	1623	2740
372	1627	2735
373	1631	2730
374	1635	2725
375	1639	2720
376	1643	2715
377	1647	2711
378	1651	2706
379	1655	2701
380	1659	2696
381	1664	2692
382	1668	2687
383	1672	2682
384	1676	2677
385	1680	2672
386	1684	2668
387	1688	2662
388	1692	2658
389	1696	2654
390	1700	2649
391	1705	2644
392	1709	2640
393	1713	2635
394	1717	2631
395	1721	2626
396	1725	2621
397	1729	2616
398	1734	2612
399	1738	2607
400	1742	2602
401	1746	2598
402	1750	2593
403	1754	2588
404	1759	2584
405	1762	2579
406	1766	2574
407	1770	2569
408	1775	2565
409	1779	2561
410	1783	2556
411	1788	2552
412	1793	2549
413	1797	2544
414	1801	2539
415	1805	2535
416	1810	2530
417	1814	2526
418	1818	2521
419	1822	2516
420	1826	2511
421	1830	2507
422	1834	2502
423	1838	2497
424	1842	2492
425	1846	2487
426	1851	2483
427	1855	2479
428	1858	2474
429	1863	2469
430	1867	2465
431	1871	2460
432	1875	2455
433	1879	2450
434	1883	2446
435	1887	2441
436	1891	2437
437	1896	2432
438	1900	2428
439	1904	2424
440	1908	2419
441	1912	2414
442	1916	2410
443	1920	2405
444	1924	2400
445	1928	2395
446	1933	2391
447	1937	2386
448	1941	2382
449	1945	2377
450	1949	2373
451	1953	2368
452	1957	2364
453	1962	2359
454	1966	2355
455	1970	2350
456	1974	2346
457	1978	2341
458	1982	2337
459	1987	2332
460	1991	2328
461	1995	2323
462	1999	2319
463	2003	2314
464	2007	2309
465	2011	2305
466	2015	2300
467	2019	2296
468	2023	2291
469	2028	2287
470	2032	2282
471	2036	2278
472	2040	2273
473	2044	2269
474	2049	2264
475	2053	2260
476	2057	2255
477	2061	2250
478	2065	2246
479	2069	2241
480	2073	2237
481	2077	2232
482	2081	2228
483	2085	2223
484	2090	2219
485	2094	2215
486	2098	2210
487	2102	2206
488	2106	2201
489	2111	2197
490	2115	2192
491	2119	2188
492	2123	2183
493	2127	2179
494	2131	2174
495	2135	2170
496	2139	2165
497	2143	2161
498	2148	2156
499	2152	2152
500	2156	2147
501	2160	2143
502	2164	2138
503	2168	2134
504	2172	2129
505	2177	2125
506	2181	2120
507	2185	2116
508	2189	2112
509	2193	2107
510	2198	2103
511	2202	2099
512	2206	2094
513	2210	2090
514	2214	2085
515	2219	2081
516	2223	2077
517	2227	2072
518	2231	2068
519	2236	2064
520	2240	2059
521	2244	2055
522	2248	2050
523	2252	2046
524	2256	2041
525	2261	2037
526	2265	2033
527	2269	2028
528	2273	2023
529	2276	2019
530	2281	2015
531	2285	2010
532	2289	2006
533	2293	2001
534	2297	1997
535	2302	1992
536	2306	1988
537	2310	1983
538	2314	1979
539	2318	1974
540	2322	1970
541	2326	1966
542	2330	1961
543	2334	1957
544	2338	1952
545	2342	1948
546	2346	1943
547	2350	1939
548	2355	1934
549	2359	1930
550	2363	1925
551	2367	1921
552	2371	1917
553	2375	1912
554	2379	1908
555	2384	1903
556	2388	1899
557	2392	1895
558	2396	1890
559	2400	1886
560	2404	1881
561	2408	1877
562	2412	1872
563	2416	1868
564	2420	1863
565	2424	1859
566	2428	1854
567	2432	1850
568	2436	1845
569	2440	1841
570	2444	1836
571	2448	1832
572	2453	1828
573	2457	1824
574	2461	1819
575	2465	1815
576	2469	1810
577	2473	1806
578	2478	1801
579	2482	1797
580	2486	1793
581	2490	1788
582	2494	1784
583	2499	1780
584	2502	1775
585	2507	1771
586	2511	1766
587	2515	1762
588	2519	1758
589	2523	1753
590	2527	1749
591	2531	1744
592	2535	1740
593	2539	1736
594	2544	1731
595	2548	1727
596	2552	1722
597	2556	1718
598	2560	1714
599	2564	1709
600	2568	1705
601	2572	1700
602	2576	1696
603	2580	1692
604	2584	1687
605	2588	1683
606	2592	1678
607	2596	1674
608	2600	1669
609	2604	1665
610	2608	1660
611	2612	1656
612	2617	1652
613	2621	1648
614	2625	1643
615	2629	1639
616	2633	1634
617	2637	1630
618	2641	1625
619	2645	1621
620	2649	1617
621	2653	1612
622	2658	1608
623	2662	1604
624	2666	1599
625	2670	1595
626	2674	1591
627	2680	1587
628	2684	1583
629	2689	1579
630	2693	1575
631	2697	1570
632	2701	1566
633	2705	1562
634	2710	1558
635	2714	1553
636	2719	1549
637	2723	1545
638	2727	1541
639	2732	1536
640	2736	1532
641	2740	1528
642	2744	1523
643	2749	1519
644	2753	1515
645	2758	1511
646	2762	1507
647	2766	1502
648	2771	1498
649	2775	1494
650	2779	1490
651	2783	1485
652	2788	1481
653	2792	1477
654	2796	1473
655	2801	1468
656	2805	1464
657	2809	1460
658	2814	1456
659	2818	1452
660	2822	1447
661	2826	1443
662	2830	1438
663	2834	1434
664	2838	1429
665	2843	1425
666	2847	1421
667	2851	1417
668	2856	1413
669	2860	1408
670	2864	1404
671	2869	1400
672	2873	1396
673	2877	1391
674	2881	1387
675	2885	1383
676	2889	1378
677	2894	1374
678	2897	1370
679	2901	1365
680	2906	1361
681	2910	1357
682	2914	1352
683	2918	1348
684	2922	1343
685	2926	1339
686	2931	1335
687	2935	1331
688	2939	1326
689	2943	1322
690	2947	1318
691	2952	1313
692	2956	1309
693	2960	1305
694	2965	1301
695	2969	1297
696	2974	1293
697	2978	1288
698	2982	1284
699	2987	1280
700	2991	1276
701	2995	1271
702	2999	1267
703	3004	1263
704	3008	1258
705	3013	1254
706	3017	1250
707	3021	1246
708	3026	1242
709	3031	1238
710	3035	1233
711	3039	1229
712	3044	1225
713	3048	1221
714	3052	1216
715	3057	1212
716	3061	1208
717	3066	1204
718	3070	1200
719	3074	1195
720	3079	1191
721	3083	1187
722	3087	1182
723	3092	1178
724	3096	1174
725	3100	1170
726	3104	1165
727	3109	1161
728	3113	1157
729	3117	1153
730	3122	1148
731	3126	1144
732	3130	1140
733	3135	1136
734	3139	1131
735	3144	1127
736	3148	1123
737	3152	1119
738	3157	1115
739	3161	1110
740	3165	1106
741	3170	1102
742	3174	1098
743	3178	1093
744	3183	1089
745	3187	1085
746	3191	1081
747	3196	1076
748	3200	1072
749	3204	1068
750	3208	1063
751	3212	1059
752	3216	1055
753	3222	1051
754	3226	1047
755	3231	1043
756	3235	1038
757	3240	1034
758	3245	1030
759	3250	1026
760	3256	1022
761	3261	1018
762	3265	1014
763	3270	1010
764	3274	1005
765	3278	1001
766	3283	997
767	3287	992
768	3291	988
769	3295	984
770	3299	980
771	3304	975
772	3307	971
773	3312	967
774	3316	962
775	3321	958
776	3325	954
777	3330	950
778	3334	945
779	3338	941
780	3343	937
781	3347	933
782	3352	928
783	3356	924
784	3360	920
785	3365	916
786	3369	911
787	3373	907
788	3378	903
789	3382	899
790	3386	894
791	3391	890
792	3395	886
793	3400	882
794	3403	877
795	3408	873
796	3412	869
797	3417	865
798	3421	860
799	3425	856
800	3430	852
801	3435	848
802	3439	843
803	3444	839
804	3448	835
805	3453	831
806	3457	826
807	3461	822
808	3466	818
809	3470	814
810	3475	809
811	3479	805
812	3484	801
813	3489	797
814	3493	792
815	3498	788
816	3506	785
817	3514	781
818	3519	777
819	3524	773
820	3528	769
821	3532	765
822	3537	760
823	3541	756
824	3545	752
825	3550	747
826	3554	743
827	3558	739
828	3563	735
829	3567	730
830	3572	726
831	3576	722
832	3580	717
833	3584	713
834	3589	709
835	3593	704
836	3597	700
837	3601	696
838	3606	692
839	3610	687
840	3615	683
841	3620	679
842	3624	675
843	3628	670
844	3633	666
845	3637	662
846	3641	657
847	3645	653
848	3649	649
849	3654	644
850	3658	640
851	3662	636
852	3666	631
853	3671	627
854	3675	623
855	3679	619
856	3683	614
857	3688	610
858	3692	606
859	3696	601
860	3700	597
861	3704	593
862	3709	588
863	3713	584
864	3717	580
865	3722	575
866	3726	571
867	3730	567
868	3735	563
869	3740	558
870	3744	554
871	3749	550
872	3754	546
873	3758	541
874	3763	537
875	3768	533
876	3773	529
877	3777	524
878	3781	520
879	3785	516
880	3790	512
881	3794	507
882	3799	503
883	3803	499
884	3808	494
885	3812	490
886	3816	486
887	3821	482
888	3826	477
889	3830	473
890	3834	469
891	3839	464
892	3843	460
893	3848	456
894	3852	452
895	3857	447
896	3862	443
897	3867	439
898	3871	434
899	3875	430
900	3879	426
901	3884	421
902	3888	417
903	3892	413
904	3896	409
905	3900	404
906	3904	400
907	3909	396
908	3913	391
909	3917	387
910	3922	383
911	3926	378
912	3930	374
913	3934	370
914	3938	365
915	3942	361
916	3947	357
917	3951	352
918	3956	348
919	3960	344
920	3964	340
921	3969	335
922	3973	331
923	3977	327
924	3981	322
925	3985	318
926	3989	314
927	3994	309
928	3998	305
929	4002	301
930	4006	296
931	4010	292
932	4015	288
933	4019	284
934	4023	279
935	4027	275
936	4031	271
937	4035	266
938	4039	262
939	4043	258
940	4047	253
941	4051	249
942	4056	245
943	4060	240
944	4064	236
945	4069	232
946	4073	227
947	4077	223
948	4081	219
949	4085	215
950	4090	210
951	4094	206
952	4098	202
953	4102	197
954	4106	193
955	4111	189
956	4116	184
957	4120	180
958	4125	176
959	4129	172
960	4133	167
961	4137	163
962	4142	159
963	4146	154
964	4150	150
965	4154	146
966	4159	141
967	4163	137
968	4168	133
969	4172	129
970	4176	124
971	4181	120
972	4185	116
973	4190	111
974	4194	107
975	4198	103
976	4203	98
977	4207	94
978	4211	90
979	4215	86
980	4219	81
981	4223	77
982	4227	73
983	4232	68
984	4236	64
985	4240	60
986	4244	55
987	4249	51
988	4253	47
989	4257	43
990	4262	38
991	4266	34
992	4271	30
993	4275	25
994	4279	21
995	4284	17
996	4288	12
997	4293	8
998	4297	4
999	4301	0
