iter	Logloss
0	0.6523969123
1	0.6172477394
2	0.5869707136
3	0.5580161134
4	0.5307847081
5	0.5075480511
6	0.4883715938
7	0.4720895156
8	0.4564310856
9	0.4376155305
10	0.4255778616
11	0.4108110772
12	0.4005411418
13	0.3897878118
14	0.3823214537
15	0.3765081607
16	0.3682046615
17	0.3632997289
18	0.358004628
19	0.3515939406
20	0.3475604282
21	0.342719213
22	0.3385158683
23	0.3337493936
24	0.3311826757
25	0.3282535879
26	0.3257962018
27	0.323419025
28	0.3204447414
29	0.3178633252
30	0.3161667246
31	0.3140409642
32	0.3126633887
33	0.3107246212
34	0.3082836731
35	0.3072752697
36	0.3060829782
37	0.3051476243
38	0.3038809674
39	0.30285253
40	0.3018919005
41	0.3008361113
42	0.300187627
43	0.2995821719
44	0.2988635275
45	0.2981948305
46	0.2968546178
47	0.2959736484
48	0.2954508263
49	0.2948850404
50	0.2945804416
51	0.2935958247
52	0.2928988322
53	0.2918981476
54	0.2907589722
55	0.2903266041
56	0.2891875289
57	0.2887661539
58	0.287970978
59	0.2875652221
60	0.2866805844
61	0.2859411045
62	0.2851299034
63	0.2843070234
64	0.2840133074
65	0.283464459
66	0.2829226806
67	0.2823354815
68	0.2820058784
69	0.281740172
70	0.2815140361
71	0.28114829
72	0.2808984272
73	0.2806031131
74	0.2801065035
75	0.2798250655
76	0.2794510897
77	0.2790458185
78	0.278464351
79	0.2779505699
80	0.2776390463
81	0.2771332452
82	0.2768084723
83	0.276611026
84	0.2764648432
85	0.2763956459
86	0.2758487743
87	0.2755699532
88	0.275300414
89	0.2746579335
90	0.2743891673
91	0.2741458336
92	0.2738833596
93	0.2734377664
94	0.2730741981
95	0.2729048539
96	0.2726605656
97	0.2724632388
98	0.2722170208
99	0.271425305
100	0.271320867
101	0.2712086966
102	0.271037254
103	0.2709059785
104	0.2706214532
105	0.2704549882
106	0.2703219091
107	0.2702212683
108	0.269959374
109	0.2696626496
110	0.2694793275
111	0.2690004637
112	0.2687505517
113	0.2685296509
114	0.2683556992
115	0.2680572404
116	0.267887473
117	0.2678103705
118	0.2676169101
119	0.2674591224
120	0.2672851611
121	0.2671088397
122	0.2670349307
123	0.2664813865
124	0.2663275392
125	0.2661064701
126	0.2659818649
127	0.2658822404
128	0.2657936771
129	0.2657229739
130	0.2655863936
131	0.2654210952
132	0.2652750685
133	0.2651445723
134	0.2648171193
135	0.2644681035
136	0.2643416613
137	0.2640753187
138	0.2640162529
139	0.2639131532
140	0.2637346114
141	0.2635940766
142	0.2634790914
143	0.2631430806
144	0.2631100296
145	0.2630150094
146	0.2628808814
147	0.2623712521
148	0.2621233389
149	0.2619817423
150	0.2617034553
151	0.2616310451
152	0.2614282775
153	0.2612130448
154	0.2610929494
155	0.2608975772
156	0.2607690828
157	0.2606673995
158	0.2604982501
159	0.2604377095
160	0.2603465872
161	0.2601988944
162	0.2600559674
163	0.2598421805
164	0.2596732493
165	0.2595225569
166	0.2592981416
167	0.2589862873
168	0.2587092526
169	0.2585750143
170	0.2584600348
171	0.2583549321
172	0.2582409053
173	0.2581175699
174	0.2578692158
175	0.2577071126
176	0.2575591995
177	0.2573538468
178	0.2572247446
179	0.2571321865
180	0.2569367037
181	0.2568351978
182	0.2566643985
183	0.2565121553
184	0.2564668761
185	0.2562957822
186	0.2561293897
187	0.25598579
188	0.2559034876
189	0.2558428296
190	0.2557019883
191	0.2555453338
192	0.2554563169
193	0.255344211
194	0.2552998987
195	0.2552133088
196	0.2550604351
197	0.2549815084
198	0.254871229
199	0.2547089752
200	0.254541648
201	0.2543364408
202	0.2542279418
203	0.2541610589
204	0.2539692732
205	0.2538312613
206	0.2536423065
207	0.2535133993
208	0.2531559543
209	0.2530778021
210	0.2529146987
211	0.2528878913
212	0.2527406583
213	0.2525965619
214	0.2525143206
215	0.2524004485
216	0.2522317401
217	0.2521056624
218	0.2519888674
219	0.2518661899
220	0.2517216542
221	0.2516957033
222	0.2515424334
223	0.251424668
224	0.2512256806
225	0.2511279423
226	0.2510395723
227	0.2509220743
228	0.2507908055
229	0.2506480164
230	0.2504813354
231	0.2502823733
232	0.2501287576
233	0.2499797308
234	0.2499062283
235	0.249837357
236	0.2496813335
237	0.2494973663
238	0.24934252
239	0.2492682358
240	0.2491167739
241	0.2489521464
242	0.2488673093
243	0.2487501758
244	0.248629283
245	0.2484591163
246	0.2483735726
247	0.2481871233
248	0.2480700502
249	0.2478544549
250	0.2477159181
251	0.2476081908
252	0.2474065755
253	0.2473134504
254	0.2472340705
255	0.247095805
256	0.2469893127
257	0.2469156686
258	0.2468374771
259	0.2467343037
260	0.2465179877
261	0.2462053902
262	0.2460676595
263	0.2459016706
264	0.2456061911
265	0.2455637789
266	0.2454479366
267	0.2452076554
268	0.2450732926
269	0.2449613966
270	0.2448418086
271	0.2447264879
272	0.2445439711
273	0.2444062697
274	0.2442437807
275	0.2441908579
276	0.2441013025
277	0.2438756781
278	0.2437974001
279	0.2437213052
280	0.2435661854
281	0.2434826223
282	0.2433762691
283	0.2432162665
284	0.2430758353
285	0.2430343074
286	0.2428893632
287	0.2427285619
288	0.2426351625
289	0.2425138217
290	0.2424061471
291	0.2423068332
292	0.2421916592
293	0.2421051968
294	0.2420197928
295	0.2418860564
296	0.2417709722
297	0.2415891543
298	0.2414915181
299	0.2413584115
300	0.2412176365
301	0.2411003276
302	0.2410096973
303	0.240943315
304	0.2407536141
305	0.2406975782
306	0.240619948
307	0.2405375052
308	0.2404354105
309	0.2403546158
310	0.2401849936
311	0.2401113288
312	0.2400280623
313	0.2399525286
314	0.239827066
315	0.2397545435
316	0.2396583313
317	0.2395415602
318	0.2394665588
319	0.2393666781
320	0.2392614324
321	0.2390795851
322	0.2390011102
323	0.2388143088
324	0.2386921155
325	0.2386285512
326	0.2385863427
327	0.2385057151
328	0.2383624629
329	0.2383096178
330	0.2382103684
331	0.2380743741
332	0.2378987999
333	0.2378082558
334	0.2376631621
335	0.2375771371
336	0.2375161579
337	0.2373961936
338	0.2373126128
339	0.2372220426
340	0.2371595669
341	0.2370167044
342	0.2369668185
343	0.2368551538
344	0.2367781432
345	0.236570855
346	0.2364995603
347	0.2364023187
348	0.2362998076
349	0.2362021088
350	0.2360653425
351	0.2359934157
352	0.2358769136
353	0.2357602889
354	0.2357040459
355	0.2355735236
356	0.235449649
357	0.2353643645
358	0.235301284
359	0.2352325141
360	0.2351175314
361	0.2350023712
362	0.2348515819
363	0.2347652352
364	0.2346621912
365	0.2345484046
366	0.2345021083
367	0.2343941089
368	0.2343297753
369	0.2342486227
370	0.2341775756
371	0.2340894751
372	0.2340248765
373	0.233918099
374	0.2338741028
375	0.2337480219
376	0.2336966549
377	0.2335096657
378	0.2334089066
379	0.2333213417
380	0.2332762471
381	0.2330628826
382	0.2329628209
383	0.2329345311
384	0.2328422667
385	0.2327934926
386	0.232684939
387	0.2326424223
388	0.2324749532
389	0.2322689759
390	0.2322047069
391	0.232058891
392	0.2319116919
393	0.2317916819
394	0.2316912513
395	0.2316343829
396	0.2315726434
397	0.2314927498
398	0.2314023835
399	0.2312307199
400	0.2310954611
401	0.2310046724
402	0.2309062529
403	0.230817143
404	0.230729251
405	0.2306765378
406	0.2305912413
407	0.2304548847
408	0.2303108989
409	0.2301465926
410	0.2300013134
411	0.2298609812
412	0.2297968047
413	0.2296629502
414	0.229619976
415	0.2295028755
416	0.229374765
417	0.2293199298
418	0.2292513035
419	0.2291736737
420	0.2290936218
421	0.2290266556
422	0.2289352975
423	0.2288400811
424	0.2287335974
425	0.2286532089
426	0.2285200178
427	0.2284440034
428	0.2284072512
429	0.2283590606
430	0.2282656981
431	0.2281853805
432	0.2281159702
433	0.2280361287
434	0.2279819625
435	0.227863807
436	0.22778464
437	0.2277389093
438	0.2275971111
439	0.227500828
440	0.2273659287
441	0.2272809233
442	0.2270948071
443	0.2270421832
444	0.2269576135
445	0.2269210601
446	0.2268162835
447	0.2266917037
448	0.2265685619
449	0.2264386225
450	0.2263694031
451	0.2263051449
452	0.2262660451
453	0.2262101513
454	0.2261264972
455	0.2260489138
456	0.2259591536
457	0.2257920256
458	0.225712696
459	0.2255833559
460	0.2254831307
461	0.2253831264
462	0.2252003804
463	0.2251663721
464	0.2250949045
465	0.2250329443
